symbol,name,color,icon,q3_24_prior,q4_24_prior,q1_25_prior,q2_25_prior,q3_25_current,q4_25_current,q1_26_current,q2_26_current,agg_prior,agg_current,change_pp,is_annualized,notes,category,mcap_start_prior_usd,mcap_end_prior_usd,mcap_start_current_usd,mcap_end_current_usd,mcap_change_pct,price_start_prior_usd,price_end_prior_usd,price_start_current_usd,price_end_current_usd,price_change_pct_prior,price_change_pct_current,volatility_annualized_prior,volatility_annualized_current,avg_24h_volume_m_usd_prior,avg_24h_volume_m_usd_current,volume_trend_pct,active_addresses,daily_tx_count,tvl_usd,circulating_supply,inflation_rate_pct,fdv_to_mcap_ratio,max_drawdown_prior_pct,max_drawdown_current_pct,sharpe_ratio_prior,sharpe_ratio_current,beta_vs_btc,beta_vs_eth,correlation_btc,correlation_eth,rsi_14d,ma50_200_cross_pct,momentum_90d_pct,yield_volatility,yield_trend_slope,yield_vs_category_avg,q3_26_forward_yield,yield_direction_next_q,risk_adjusted_yield,outperformance_vs_market_pp,investment_score,source_file,source_row
CELO,celo,#fbcc5c,C,5.88,5.22,5.32,6.61,6.78,6.5,7.0,6.85,5.76,6.78,1.02,0,proof-of-stake with stability mechanism,payments,240362476.0,321929146.0,321929146.0,451653087.0,87.9,2049.19,2304.04,2304.04,3022.13,12.44,31.17,37.56,97.36,18.65,37.94,103.43,3441657.0,34529054.0,23247573.0,13371680.0,12.85,1.91,-61.88,-37.52,1.074,2.332,1.152,1.339,0.714,0.856,64.4,2.34,109.34,0.47,0.996,1.14,8.2,1,6.964,0.57,7.52,yield_data1.csv,39
GLMR,moonbeam,#53cbc8,G,11.94,11.9,12.19,13.14,13.16,13.38,13.58,12.9,12.29,13.26,0.97,0,parachain collator staking,layer1,213230707.0,273160587.0,273160587.0,402765593.0,88.89,793.01,750.01,750.01,764.39,-5.42,1.92,47.46,108.9,14.08,43.92,211.93,650228.0,37026271.0,95024327.0,7671258.0,4.69,4.61,-47.13,-49.47,1.604,0.695,0.831,0.974,0.575,0.599,46.6,-11.42,20.14,1.48,0.038,2.07,14.04,1,12.176,-0.07,8.41,yield_data1.csv,40
PENDLE,pendle,#1e293b,P,6.35,6.11,7.2,7.36,6.94,7.34,6.94,8.02,6.75,7.31,0.56,0,yield tokenization protocol staking,defi,643773457.0,649351124.0,649351124.0,862672399.0,34.0,2194.76,2818.92,2818.92,4199.68,28.44,48.98,54.84,37.11,25.4,47.31,86.26,442142.0,8872936.0,380690835.0,5284436.0,3.25,2.83,-57.08,-13.97,0.322,2.872,1.64,0.819,0.36,0.376,66.7,16.11,13.78,2.89,1.402,6.55,8.46,1,19.698,-0.43,9.47,yield_data1.csv,41
EIGEN,eigenlayer,#1a1a2e,E,4.58,4.76,4.5,4.61,3.73,4.73,4.4,5.27,4.61,4.53,-0.08,0,restaking AVS rewards,infrastructure,373933160.0,446077095.0,446077095.0,433366341.0,15.89,165.95,218.95,218.95,226.69,31.94,3.54,54.54,76.17,19.35,21.39,10.54,3090048.0,13582736.0,209272226.0,18297209.0,7.62,2.23,-39.05,-33.15,1.053,2.069,1.438,1.343,0.384,0.808,44.9,-7.83,114.11,2.28,0.51,2.26,4.5,0,5.947,-0.7,6.25,yield_data1.csv,42
ETHFI,ether.fi,#3b82f6,F,3.73,3.83,3.75,2.88,3.89,3.23,4.3,4.43,3.55,3.96,0.41,0,liquid restaking eETH yield,defi,421424366.0,564740188.0,564740188.0,522813094.0,24.06,940.8,826.63,826.63,715.68,-12.14,-13.42,38.08,31.41,48.2,40.61,-15.75,301824.0,37631589.0,208931758.0,10362267.0,14.5,1.17,-37.65,-21.17,0.435,2.952,1.068,1.263,0.751,0.405,46.0,13.42,96.57,3.17,0.264,-1.9,3.91,0,12.607,0.9,7.75,yield_data1.csv,43
JTO,jito,#9945ff,J,4.81,5.76,5.19,4.94,5.9,5.37,5.28,5.63,5.17,5.54,0.37,0,jitoSOL MEV-enhanced staking,defi,271405299.0,359282243.0,359282243.0,334085953.0,23.09,916.58,1079.66,1079.66,920.5,17.79,-14.74,35.42,43.33,10.77,25.93,140.76,477920.0,21600311.0,33636899.0,18258743.0,1.03,3.66,-60.7,-15.76,2.495,1.082,0.459,1.275,0.809,0.792,68.1,2.97,-36.74,1.39,0.747,4.39,6.1,1,12.786,-0.37,3.96,yield_data1.csv,44
LDO,lido,#00a3ff,D,1.73,2.58,2.75,1.65,2.47,2.33,3.18,2.79,2.18,2.69,0.51,0,stETH liquid staking passthrough,defi,1558920651.0,1377728828.0,1377728828.0,1965220745.0,26.06,571.23,625.36,625.36,925.41,9.48,47.98,94.4,84.74,46.89,146.48,212.39,1870644.0,43733062.0,236189522.0,12094897.0,12.91,3.7,-60.75,-57.32,2.275,1.895,1.059,0.875,0.469,0.865,27.8,0.81,114.69,2.91,-0.259,1.48,3.25,1,3.174,-0.03,8.55,yield_data1.csv,45
RPL,rocketpool,#e16f3a,R,3.35,2.03,3.4,2.14,3.51,2.82,2.78,3.32,2.73,3.11,0.38,0,rETH decentralized staking,defi,410165167.0,467951986.0,467951986.0,476173659.0,16.09,1646.69,1407.36,1407.36,1477.27,-14.53,4.97,62.31,108.79,36.24,51.7,42.66,847152.0,13352349.0,271026171.0,15237490.0,4.91,4.64,-40.85,-19.82,-0.425,1.875,1.256,1.579,0.31,0.767,60.8,-9.64,75.35,0.79,-0.113,4.71,3.0,0,2.859,0.55,5.93,yield_data1.csv,46
MNDE,marinade,#00d4aa,M,6.37,5.7,6.17,6.02,6.16,6.54,6.31,7.0,6.06,6.5,0.44,0,mSOL liquid staking on solana,defi,88683103.0,118747584.0,118747584.0,162747000.0,83.52,2048.27,2368.52,2368.52,3255.33,15.64,37.44,37.65,34.82,10.63,5.8,-45.44,4929423.0,29438945.0,41338087.0,1208687.0,0.08,1.54,-60.5,-14.51,-0.184,0.462,1.275,0.877,0.416,0.687,69.4,2.48,111.32,3.46,0.677,7.23,8.2,1,18.667,-0.89,5.28,yield_data1.csv,47
HYPE,hyperliquid,#ffd700,H,2.95,4.43,3.81,4.1,4.34,4.4,4.19,3.98,3.82,4.23,0.41,0,validator staking with fee discounts,layer1,1426277671.0,1577005732.0,1577005732.0,1509674176.0,5.85,2566.36,2673.34,2673.34,2491.28,4.17,-6.81,40.63,72.29,77.8,42.14,-45.84,257206.0,8406115.0,299452138.0,8687332.0,10.95,3.61,-45.07,-27.38,0.28,0.117,0.814,0.935,0.507,0.533,28.3,19.76,79.39,0.68,1.326,7.75,3.47,0,5.851,0.52,5.27,yield_data1.csv,48
ONDO,ondo,#1a3c6e,O,2.76,2.23,2.2,3.06,3.06,2.71,2.87,3.14,2.56,2.95,0.39,1,annualized from rwa tokenization yield,rwa,715045080.0,633187964.0,633187964.0,842511816.0,17.83,2627.85,2850.49,2850.49,4473.44,8.47,56.94,42.44,91.0,75.75,41.65,-45.02,3167926.0,3728082.0,217432001.0,7976077.0,8.11,3.5,-35.32,-37.09,1.817,0.772,0.705,0.926,0.327,0.873,71.6,-9.21,16.13,0.8,0.386,-2.94,3.13,0,3.242,-0.55,2.19,yield_data1.csv,49
ICP,internet-computer,#3b00b9,I,9.84,9.67,9.4,9.87,10.83,10.66,11.08,10.89,9.7,10.87,1.17,0,neuron governance staking,layer1,3650852190.0,3353668284.0,3353668284.0,4329699797.0,18.59,2463.48,3164.69,3164.69,5029.79,28.46,58.93,52.33,75.39,387.35,161.6,-58.28,1110027.0,25504228.0,2201612691.0,2250408.0,1.86,4.6,-51.6,-53.6,-0.108,0.277,0.703,1.391,0.639,0.729,43.9,4.56,103.92,2.83,0.66,0.14,10.52,0,14.418,1.65,5.0,yield_data1.csv,50
GRT,the-graph,#6747ed,G,5.68,6.08,5.2,5.66,6.22,6.55,6.79,6.71,5.66,6.57,0.91,0,indexer delegation rewards,infrastructure,1152827987.0,1465875601.0,1465875601.0,1776298876.0,54.08,975.41,1177.91,1177.91,1227.35,20.76,4.2,80.38,64.44,119.26,51.79,-56.57,3541107.0,30746303.0,834092778.0,12933233.0,6.33,2.15,-46.63,-30.58,-0.381,2.439,1.689,1.014,0.446,0.48,61.2,11.47,14.49,1.21,0.485,7.33,5.73,0,10.196,0.58,7.73,yield_data1.csv,51
CRO,cronos,#002d72,C,5.16,4.79,5.21,5.89,5.91,5.3,5.35,6.02,5.26,5.64,0.38,0,exchange-backed chain staking,payments,1611961119.0,1547511313.0,1547511313.0,1581552657.0,-1.89,1397.09,1777.98,1777.98,2408.84,27.26,35.48,45.0,73.5,110.28,54.1,-50.94,3138071.0,46111147.0,565732473.0,5837783.0,4.79,3.69,-55.33,-14.06,0.232,0.289,0.839,1.093,0.833,0.873,66.3,0.56,68.47,0.31,0.348,1.55,7.39,1,7.673,0.17,4.31,yield_data1.csv,52
MKR,maker,#1aab9b,M,2.71,2.24,3.01,2.9,3.01,2.62,2.74,2.68,2.71,2.76,0.05,0,sky protocol revenue share,defi,984982576.0,865859896.0,865859896.0,1071365212.0,8.77,525.24,628.63,628.63,953.83,19.68,51.73,69.36,43.67,37.5,102.31,172.83,2687042.0,22131735.0,473026482.0,5717311.0,13.5,4.23,-39.89,-17.17,-0.422,1.577,1.238,1.05,0.735,0.367,62.9,17.49,-13.26,0.34,0.733,7.25,2.95,1,6.32,-1.06,7.34,yield_data1.csv,53
CRV,curve,#ff5e5e,C,3.59,3.96,4.56,3.32,4.2,4.61,4.23,4.99,3.86,4.51,0.65,0,veCRV gauge voting yield,defi,227373649.0,263498911.0,263498911.0,278435428.0,22.46,559.3,614.65,614.65,588.57,9.9,-4.24,77.12,88.74,22.99,15.58,-32.23,1368824.0,3228666.0,91006961.0,9341628.0,5.23,4.62,-28.57,-19.62,0.123,1.125,1.064,0.983,0.688,0.398,29.6,-0.11,112.74,3.05,1.399,-1.23,5.12,1,5.082,-0.43,8.25,yield_data1.csv,54
SNX,synthetix,#00d1ff,S,6.24,5.84,6.5,5.46,6.85,7.02,6.38,6.91,6.01,6.79,0.78,0,snx collateral staking rewards,defi,428825223.0,393080038.0,393080038.0,436538145.0,1.8,517.22,578.81,578.81,748.81,11.91,29.37,37.12,46.8,15.79,15.95,1.01,2188914.0,19866530.0,155461773.0,12214411.0,14.61,1.75,-56.76,-22.12,0.066,2.24,0.641,1.122,0.783,0.629,43.6,-13.9,113.97,0.71,1.373,3.06,6.29,0,14.509,0.92,9.18,yield_data1.csv,55
COMP,compound,#00d395,C,1.98,3.23,2.53,1.78,2.5,3.37,3.05,3.61,2.38,3.13,0.75,0,governance comp distribution,defi,307375052.0,320481407.0,320481407.0,350193048.0,13.93,1707.32,1559.87,1559.87,1439.98,-8.64,-7.69,76.85,47.37,16.18,26.57,64.22,3993958.0,35424174.0,221520781.0,5915488.0,-1.93,4.86,-18.88,-29.24,2.352,0.647,0.446,1.495,0.58,0.556,56.7,-3.63,78.3,3.24,-0.43,3.21,4.1,1,6.608,0.6,6.05,yield_data1.csv,56
BAL,balancer,#1e8e3e,B,3.52,4.03,3.4,3.97,4.02,3.84,4.11,4.01,3.73,4.0,0.27,0,veBAL liquidity mining,defi,183465754.0,245101506.0,245101506.0,236987555.0,29.17,2407.01,2018.01,2018.01,2898.88,-16.16,43.65,60.71,50.63,16.19,21.81,34.71,4173640.0,44819685.0,79560008.0,18166564.0,8.35,4.73,-53.92,-54.76,0.763,2.733,0.422,0.568,0.674,0.897,66.6,13.49,111.28,3.3,0.271,-4.16,3.57,0,7.9,0.06,8.64,yield_data1.csv,57
YFI,yearn,#0657f9,Y,3.03,2.58,3.14,2.89,2.77,2.66,2.8,3.42,2.91,2.91,0.0,0,vault strategy yield share,defi,299088000.0,291211923.0,291211923.0,372538906.0,24.56,402.23,338.46,338.46,457.4,-15.85,35.14,56.07,75.72,28.29,48.79,72.46,3071022.0,41860367.0,227486265.0,16994815.0,7.35,3.27,-56.28,-45.93,0.35,1.692,0.749,0.583,0.494,0.476,56.3,-6.38,21.19,2.11,0.612,-0.85,4.27,1,3.843,-0.34,4.86,yield_data1.csv,58
WLD,worldcoin,#000000,W,1.68,1.28,1.45,0.89,1.04,1.44,1.58,1.78,1.32,1.46,0.14,1,annualized from orb operator rewards,ai,539202507.0,496377808.0,496377808.0,584186749.0,8.34,796.93,981.24,981.24,842.56,23.13,-14.13,69.93,108.75,37.82,67.33,78.03,1878015.0,26144418.0,170029510.0,9309481.0,11.73,1.62,-31.4,-36.53,0.469,2.249,0.506,1.073,0.934,0.752,38.1,10.8,23.83,0.99,0.737,-0.3,1.81,1,1.343,-0.76,5.07,yield_data1.csv,59
LUNC,terra-luna,#f9d71c,L,10.56,9.92,10.07,10.81,11.05,10.43,10.99,11.3,10.34,10.94,0.6,0,post-collapse community staking,payments,383767483.0,449996266.0,449996266.0,551000161.0,43.58,362.28,356.56,356.56,358.98,-1.58,0.68,39.47,78.96,42.64,77.12,80.86,1147679.0,1511259.0,97999478.0,9571392.0,4.56,4.03,-54.12,-35.88,0.713,1.571,1.153,0.839,0.817,0.747,28.8,2.24,-29.19,2.95,1.128,3.47,9.81,0,13.855,-0.72,7.12,yield_data1.csv,60
